"","ID","achievement","social","immersion","pre.score","pos.score","dif.score","scenario"
"1","P01","lower",3.57142857142857,2.8,6,8,2,"gamified"
"2","P02","upper",2.85714285714286,2.2,8,10,2,"gamified"
"3","P03","lower",2.14285714285714,3.4,7,8,1,"gamified"
"4","P04","upper",2.71428571428571,3.8,7,9,2,"gamified"
"5","P05","upper",4,3.8,7,9,2,"gamified"
"6","P06","lower",3.28571428571429,2.4,8,10,2,"gamified"
"7","P07","lower",3.85714285714286,2.4,8,9,1,"gamified"
"8","P08","lower",2.71428571428571,3.2,5,7,2,"gamified"
"9","P09","upper",3.71428571428571,3.4,8,10,2,"gamified"
"10","P10","lower",2,2,7,10,3,"gamified"
"11","P11","upper",2,3.8,7,10,3,"gamified"
"12","P12","upper",3.28571428571429,2.4,6,9,3,"gamified"
"13","P13","upper",4,3.4,6,9,3,"gamified"
"14","P14","lower",2.57142857142857,3,8,9,1,"gamified"
"15","P15","upper",2.57142857142857,4.2,7,7,0,"non.gamified"
"16","P16","lower",1.71428571428571,2.6,8,7,-1,"non.gamified"
"17","P17","upper",3.57142857142857,3.2,6,8,2,"gamified"
"18","P18","upper",3.57142857142857,3.2,7,8,1,"non.gamified"
"19","P19","upper",2.14285714285714,4,7,7,0,"non.gamified"
"20","P20","upper",1.28571428571429,2.6,7,8,1,"non.gamified"
"21","P21","lower",2.14285714285714,2.8,6,6,0,"non.gamified"
"22","P22","lower",2.14285714285714,3.6,8,8,0,"non.gamified"
"23","P23","lower",2.28571428571429,2.6,6,6,0,"non.gamified"
"24","P24","lower",3.57142857142857,3.2,8,8,0,"non.gamified"
"25","P26","lower",2,2.2,7,7,0,"non.gamified"
"26","P27","upper",3.85714285714286,4.4,4,5,1,"non.gamified"
"27","P28","lower",2.42857142857143,2,8,8,0,"non.gamified"
"28","P29","upper",4.85714285714286,3.8,6,6,0,"non.gamified"
"29","P31","upper",3,4.2,5,7,2,"non.gamified"
"30","P32","lower",2.42857142857143,2.4,7,8,1,"gamified"
